phase_id,tranche,title,module,test_file,verdict,claim_class,status
01,T1,Gate Zero and R12 State Import,(verification),(packaging/privacy guards),GATE_ZERO_VERIFIED,REPOSITORY_COMPUTATIONAL_RESULT,COMPLETE
02,T1,Deferred Backlog Closure and Requirement Traceability,(traceability),(this matrix),BACKLOG_CLOSED_TRACEABLE,REPOSITORY_COMPUTATIONAL_RESULT,COMPLETE
03,T1,Source Normalization and Equation Registry,r13/srcregistry.py,test_r13_srcregistry.py,SOURCE_CORPUS_REGISTERED_BY_HASH,CONVENTIONAL_LITERATURE,COMPLETE
04,T1,"Typed State Variables, Units, and Claim Semantics",r13/claimtypes.py,test_r13_claimtypes.py,CLAIM_SEMANTICS_TYPED_NO_PROMOTION,EXACT_IDENTITY,COMPLETE
05,T1,"Response Functions, Green Functions, and S-Matrix Core",r13/response.py,test_r13_response.py,LINEAR_RESPONSE_CORE_IMPLEMENTED,ANALYTIC_MODEL,COMPLETE
06,T1,Bridge Certificates and Coupling Graph Search,r13/bridgegraph.py,test_r13_bridgegraph.py,COUPLING_GRAPH_SEARCH_CERTIFICATE_GATED,ENGINEERING_CANDIDATE,COMPLETE
07,T2,Quartz Direct and Reciprocal Crystal Frame,r13/crystalframe.py,test_r13_crystalframe.py,DIRECT_AND_RECIPROCAL_FRAME_CONSISTENT,SOURCE_ESTABLISHED_PHYSICS,COMPLETE
08,T2,Atomistic Alpha-Quartz Phonon Model,r13/atomistic.py,test_r13_atomistic.py,ATOMISTIC_PHONON_MODEL_ANALYTIC,ANALYTIC_MODEL,COMPLETE (real FC blocked)
09,T2,Long-Wavelength Homogenization to Continuum Elasticity,r13/homogenize.py,test_r13_homogenize.py,ATOMISTIC_TO_CONTINUUM_HOMOGENIZED_ANALYTIC,ANALYTIC_MODEL,COMPLETE
10,T2,Piezoelectric Continuum to BVD Electrical Bridge,r13/piezobridge.py,test_r13_piezobridge.py,PIEZO_TO_BVD_CERTIFICATE_ENGINEERING_CANDIDATE,ENGINEERING_CANDIDATE,COMPLETE
11,T2,Avoided Crossings and Transfer of Modal Character,r13/avoided.py,test_r13_avoided.py,AVOIDED_CROSSING_MODEL_ANALYTIC,ANALYTIC_MODEL,COMPLETE
12,T2,Chiral Phonons and Magnetic Splitting in Quartz,r13/chiral.py,test_r13_chiral.py,CHIRAL_PHONON_MODEL_ANALYTIC,ANALYTIC_MODEL,COMPLETE
13,T3,"Symplectic Rotation, Squeezing, and Shear",r13/symplectic.py,test_r13_symplectic.py,SYMPLECTIC_TRANSFORMS_ROTATION_SQUEEZE_SHEAR,ANALYTIC_MODEL,COMPLETE
